Atom type,Coordinate-X,Coordinate-Y,Coordinate-Z,Mulliken charges,NPA charges,NMR Shielding
1,-1.65973,-4.02162,-0.64822,0.169706,0.21645,30.6500333333
6,-0.86097,-2.90994,-3.84829,-0.456334,-0.61873,156.9666000000
1,0.10595,-3.4027,-3.95258,0.140524,0.20351,30.3372777778
1,-0.81363,-1.96433,-4.38961,0.167875,0.20967,30.3372777778
1,-1.59537,-3.54165,-4.36345,0.153038,0.20417,31.1613666667
6,1.70204,-1.99493,-1.68436,-0.034910,-0.27493,141.3225000000
6,2.25957,-1.45005,-3.01131,-0.456057,-0.61862,157.2274000000
1,3.30111,-1.77332,-3.13197,0.152967,0.20410,31.1613666667
1,2.2617,-0.36063,-3.05043,0.140364,0.20342,30.3372777778
1,1.70687,-1.81364,-3.87823,0.167744,0.20961,30.3372777778
6,2.5508,-1.44973,-0.5115,-0.447621,-0.61556,148.1296000000
1,2.19938,-1.84083,0.44622,0.169468,0.21636,30.6500333333
1,2.55479,-0.36422,-0.44512,0.158949,0.20994,30.3372777778
1,3.59166,-1.76903,-0.64015,0.144524,0.20168,31.3914000000
6,1.91375,-3.52289,-1.66297,-0.520198,-0.61199,149.3866000000
1,1.52681,-3.97754,-0.74797,0.181621,0.21299,30.6500333333
1,2.98925,-3.73043,-1.69675,0.157688,0.20642,31.2527666667
1,1.46695,-4.03077,-2.51693,0.148939,0.20260,30.5201333333
15,-0.78995,0.33495,-1.3606,0.111367,0.81917,283.5432000000
6,-0.39522,2.01266,-0.67777,-0.105367,-0.32238,19.0926000000
6,0.5906,2.75377,-1.34599,-0.131000,-0.20283,26.8964000000
6,0.9451,4.02708,-0.90949,-0.147495,-0.20931,36.0175000000
6,0.30396,4.59101,0.19254,-0.132517,-0.20715,34.7773000000
6,-0.68803,3.87181,0.85483,-0.155149,-0.20804,34.7773000000
6,-1.03408,2.59107,0.42567,-0.137855,-0.21099,28.4565500000
1,1.08184,2.32987,-2.21723,0.153234,0.21858,23.3643333333
1,1.71352,4.58371,-1.43692,0.144855,0.21563,23.6120166667
1,0.57169,5.58791,0.52817,0.145126,0.21462,23.6120166667
1,-1.19596,4.30675,1.71023,0.145012,0.21509,23.8041000000
1,-1.8082,2.04275,0.95072,0.184032,0.22357,24.4655333333
6,-3.6867,-1.12268,1.26905,-0.155115,-0.20803,34.7773000000
6,-2.44929,-0.8268,0.69847,-0.137816,-0.21087,29.3396000000
6,-2.37074,-0.08988,-0.48948,-0.106276,-0.32228,19.4395500000
6,-3.56258,0.33414,-1.09552,-0.130800,-0.20292,26.6594000000
6,-4.79721,0.04937,-0.51915,-0.146888,-0.20934,34.7773000000
6,-4.86235,-0.68308,0.66526,-0.132685,-0.20707,34.9872000000
1,-3.72989,-1.69794,2.18888,0.145110,0.21509,23.8041000000
1,-1.54229,-1.17582,1.17923,0.183900,0.22358,24.4655333333
1,-3.5217,0.88878,-2.02867,0.153201,0.21859,23.3643333333
1,-5.70884,0.38918,-1.00075,0.144732,0.21563,23.6120166667
1,-5.82452,-0.91516,1.11083,0.144890,0.21458,23.6120166667
6,0.62193,-2.04001,-1.01192,-0.130670,-0.20271,26.6594000000
6,1.53227,-2.9196,-0.43291,-0.147693,-0.20944,35.6078000000
6,2.29681,-2.51362,0.65981,-0.133056,-0.20702,34.3488000000
6,2.14071,-1.22695,1.16997,-0.154387,-0.20812,35.1488000000
6,1.21952,-0.3502,0.59821,-0.138072,-0.21088,28.4565500000
6,0.44388,-0.7472,-0.49782,-0.105318,-0.32240,19.4395500000
